date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:05:02	99/99	---M--	200	added ('OK')	text/plain	date:Sun,%2002%20Apr%202023%2019:29:00%20GMT	http://127.0.0.1:3000/robots.txt		(from )
19:05:02	17183/17183	---MC-	200	added ('OK')	text/html	etag:W/%220ded07bf43d4055c3bb8ff367092f310%22	http://127.0.0.1:3000/	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/partnerwork/127.0.0.1_3000/index.html	(from )
19:05:04	3251/3251	---M--	200	added ('OK')	application/javascript		http://127.0.0.1:3000/assets/stimulus-loading-1fc59770fb1654500044afd3f5f6d7d00800e5be36746d55b94a2963a7a228aa.js	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/partnerwork/127.0.0.1_3000/assets/stimulus-loading-1fc59770fb1654500044afd3f5f6d7d00800e5be36746d55b94a2963a7a228aa.js	(from http://127.0.0.1:3000/)
19:05:09	32244/32244	---M--	200	added ('OK')	application/javascript		http://127.0.0.1:3000/assets/es-module-shims.min-d89e73202ec09dede55fb74115af9c5f9f2bb965433de1c2446e1faa6dac2470.js	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/partnerwork/127.0.0.1_3000/assets/es-module-shims.min-d89e73202ec09dede55fb74115af9c5f9f2bb965433de1c2446e1faa6dac2470.js	(from http://127.0.0.1:3000/)
19:05:10	42701/42701	---M--	200	added ('OK')	application/javascript		http://127.0.0.1:3000/assets/stimulus.min-d03cf1dff41d6c5698ec2c5d6a501615a7a33754dbeef8d1edd31c928d17c652.js	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/partnerwork/127.0.0.1_3000/assets/stimulus.min-d03cf1dff41d6c5698ec2c5d6a501615a7a33754dbeef8d1edd31c928d17c652.js	(from http://127.0.0.1:3000/)
19:05:10	17292/17292	---M--	200	added ('OK')	text/css		http://127.0.0.1:3000/assets/actiontext-67f3a0fa06d46abd6315813e220fc26b08ffbccabc5815a85d96f9364f45249d.css	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/partnerwork/127.0.0.1_3000/assets/actiontext-67f3a0fa06d46abd6315813e220fc26b08ffbccabc5815a85d96f9364f45249d.css	(from http://127.0.0.1:3000/)
19:05:11	309880/309880	---M--	200	added ('OK')	text/css		http://127.0.0.1:3000/assets/application-8c10a25016918fc7fafbbaa2a84047810e77d7861308809ef4eb47997e80f2f7.css	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/partnerwork/127.0.0.1_3000/assets/application-8c10a25016918fc7fafbbaa2a84047810e77d7861308809ef4eb47997e80f2f7.css	(from http://127.0.0.1:3000/)
19:05:13	58094/58094	---M--	200	added ('OK')	text/css		http://127.0.0.1:3000/assets/all.min-4b20a4b67942c48ce91d2d9665cf7cf8db6d924285f754d8e36a6e8191c639b2.css	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/partnerwork/127.0.0.1_3000/assets/all.min-4b20a4b67942c48ce91d2d9665cf7cf8db6d924285f754d8e36a6e8191c639b2.css	(from http://127.0.0.1:3000/)
19:05:15	15406/15406	---M--	200	added ('OK')	image/x-icon		http://127.0.0.1:3000/assets/favicon-9bc8104f11db54a4828f00ab789b053038ff720f8e07f48aaaac47d218e92aac.ico	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/partnerwork/127.0.0.1_3000/assets/favicon-9bc8104f11db54a4828f00ab789b053038ff720f8e07f48aaaac47d218e92aac.ico	(from http://127.0.0.1:3000/)
19:05:15	28107/28107	---M--	200	added ('OK')	image/svg+xml		http://127.0.0.1:3000/assets/logo-4f0f3ec41889ba6f39760deaf3ffdfcba60453965873c62b8f77d49d2d3ae0e4.svg	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/partnerwork/127.0.0.1_3000/assets/logo-4f0f3ec41889ba6f39760deaf3ffdfcba60453965873c62b8f77d49d2d3ae0e4.svg	(from http://127.0.0.1:3000/)
